,company,car,tream,kilometer,year,price
0,volvo,xc60,r-design,27000,2013,-1
1,renault,talisman,e3,40000,2017,-1
2,saina,ex,mt,0,1400,-1
3,peugeot,206,ir-type2,0,1399,-1
4,hyundai,sonata,4cyl-automatic,83000,2015,1270000000
5,toyota,prado,2doors-4cylinder,20000,2013,3500000000
6,shahin,g,,0,1400,-1
7,nissan,zamyad,pickup-gas,0,1400,-1
8,mvm,x55,excellent,0,1400,-1
9,mvm,x33s,at-sport,0,1400,-1
10,mazda,3,sedan-2.0l-type4,0,1398,-1
11,hyundai,santafe,ix45-2400cc,120000,2014,-1
12,mitsubishi,asx,type4,19000,2017,1250000000
13,dena,,,46000,1396,254000000
14,peugeot,405,glx,199700,1387,85000000
15,citroen,xantia,2.0-sx,200000,1386,192000000
16,chery,tiggo5,ie,0,1400,300000000
17,peugeot,207,mt,0,1399,-1
18,hyundai,santafe,ix45-2400cc,160000,2014,-1
19,pride,131,sl,168000,1390,70000000
20,hyundai,santafe,ix45-2400cc,25000,2016,1700000000
21,pride,111,sx,350000,1391,78000000
22,mvm,x33s,at-sport,0,1399,-1
23,pride,111,se,710000,1394,110000000
24,toyota,camry,glx,195000,2008,650000000
25,mercedes,benz,e-class-e280,218000,2007,1100000000
26,dena,plus,basic-manual,26000,1397,330000000
27,kia,optima,basic,108000,2014,1088000000
28,renault,duster,se-fwd,0,2015,550000000
29,runna,el,,225000,1391,122000000
30,bmw,3,series-sedan-320i,28500,2018,-1
31,peugeot,206,ir-type5,40000,1397,240000000
32,peugeot,206,ir-type2,10000,1398,220000000
33,peugeot,206sd,v8,25000,1398,-1
34,bmw,7,series-730li,45000,2017,6500000000
35,hyundai,santafe,ix45-2400cc,11000,2017,2100000000
36,bmw,5,series-sedan-530i,11500,2018,5330000000
37,porsche,macan,,20000,2017,6500000000
38,toyota,gt86,,14000,2013,-1
39,haval,h9,,40000,2018,2050000000
40,mg,360,at-turbo,0,1398,550000000
41,nissan,juke,sport,80000,2016,-1
42,hyundai,sonata,hybrid-gls-plus,35000,2018,1780000000
43,bmw,5,series-sedan-528i,100000,2014,2200000000
44,bmw,5,series-sedan-528i,88000,2013,2200000000
45,mercedes,benz,s-class-s350,142000,2009,3300000000
46,kia,sorento,gtline,62000,2017,2100000000
47,renault,talisman,e3,88000,2017,1310000000
48,toyota,rav4,4wd,88000,2014,1430000000
49,mercedes,benz,c-class-c200,130000,2010,1250000000
50,hyundai,santafe,ix45-2400cc,120000,2014,-1
51,toyota,prado,4doors-6cylinderonroad,140000,2013,3500000000
52,bmw,7,series-730li,0,2017,7800000000
53,lexus,lx,570,77745,2013,-1
54,hyundai,santafe,ix45-2400cc,90000,2016,1620000000
55,bmw,5,series-sedan-528i,66000,2015,-1
56,toyota,tundra,,25000,2013,-1
57,peugeot,2008,,31000,1398,844000000
58,citroen,xantia,2.0-sx,60000,1389,350000000
59,toyota,rav4,4wd,0,2018,-1
60,toyota,prado,4doors-6cylinder,190000,2008,-1
61,lexus,nx,hybrid-300h-f-sport,36000,2017,2950000000
62,hyundai,sonata,hybrid-gls-plus,29000,2018,1690000000
63,bmw,7,series-730li,29000,2017,5000000000
64,toyota,hilux,high-mt,72000,2013,1450000000
65,geely,emgrand7,at,192000,2014,292000000
66,amico,asna,4door,0,1400,-1
67,borgward,bx5,ultimate,0,2018,-1
68,jac,s3,at,92000,1397,420000000
69,mitsubishi,lancer,1.8-at,0,2018,-1
70,mitsubishi,asx,type4,51500,2017,-1
71,suzuki,grand,vitara-ir-at-2.4,44000,1397,950000000
72,toyota,camry,hybrid-xle,179000,2016,1520000000
73,lexus,nx,200t-f-sport,60000,2016,3000000000
74,hyundai,genesis,coupe,60000,2013,1450000000
75,peugeot,pars,mt,270000,1384,120000000
76,suzuki,grand,vitara-ir-at-2.4,12000,1396,950000000
77,peugeot,pars,lx,7000,1400,285000000
78,toyota,camry,glx,71500,2009,900000000
79,mercedes,benz,c-class-c350,0,2010,1600000000
80,bmw,5,series-sedan-530i,11500,2018,5330000000
81,hyundai,tucson,ix35-2.4l,42000,2014,1120000000
82,peugeot,206sd,v9,180000,1389,-1
83,kia,sorento,gtline,62000,2017,-1
84,volvo,xc90,inscription,48000,2017,5300000000
85,peugeot,pars,at,43500,1398,-1
86,nissan,juke,platinum,31000,2017,1000000000
87,kia,optima,basic,130000,2015,1100000000
88,toyota,rav4,4wd,129500,2014,1470000000
89,pride,111,se,32000,1398,-1
90,peugeot,207,mt,76000,1396,247000000
91,samand,lx,basic,0,1399,220000000
92,peugeot,207,manual-panorama,0,1399,323000000
93,bmw,x4,28,28000,2016,4000000000
94,peugeot,206sd,v8,220000,1394,195000000
95,saina,ex,mt,0,1400,156000000
96,tiba,hatchback,ex,31000,1398,142800000
97,kia,cerato,ir-2000-optional,20000,1398,800000000
98,nissan,patrol,4door-ir-6cylinder,369000,1376,215000000
99,pride,sedan,,209000,1388,62000000
100,samand,lx,basic,80000,1396,159000000
101,kia,cerato,ir-2000-optional,60000,1396,-1
102,kia,sportage,6cylinder,94000,2010,685000000
103,shahin,g,,0,1400,410000000
104,pride,sedan,,82000,1387,72500000
105,mazda,3,sedan-2.0l-type4,73000,1395,730000000
106,hyundai,accent,ir,29600,1397,685000000
107,peugeot,206,ir-type5,125000,1395,212000000
108,changan,cs35,ir,60000,1396,405000000
109,bmw,5,series-sedan-530i,60000,2017,4250000000
110,kia,optima,6cylinder,156000,2010,630000000
111,quick,manual,r,0,1400,170000000
112,kia,cerato,2000,114000,2010,560000000
113,baic,sabrina,hatchback,88000,2014,210000000
114,suzuki,grand,vitara-ir-at-2.4,60000,1397,880000000
